number,name,year,platform,score,votes
16,"<span class=""title""> 16. <a href=""https://club.steam250.com/app/10"">Counter-Strike</a></span>","<span class=""date"" title=""1 Nov 2000""><a href=""/old""> Nov 2000 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a></span>",,
17,"<span class=""title""> 17. <a href=""https://club.steam250.com/app/367520"">Hollow Knight</a></span>","<span class=""date"" title=""24 Feb 2017""><a href=""/2017""> Feb 2017 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
18,"<span class=""title""> 18. <a href=""https://club.steam250.com/app/646570"">Slay the Spire</a></span>","<span class=""date"" title=""23 Jan 2019""><a href=""/2019""> Jan 2019 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
19,"<span class=""title""> 19. <a href=""https://club.steam250.com/app/1086940"">Baldur's Gate 3</a></span>","<span class=""date"" title=""3 Aug 2023""><a href=""/2023""> Aug 2023 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
20,"<span class=""title""> 20. <a href=""https://club.steam250.com/app/48700"">Mount &amp; Blade: Warband</a></span>","<span class=""date"" title=""31 Mar 2010""><a href=""/2010""> Mar 2010 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a></span>",,
21,"<span class=""title""> 21. <a href=""https://club.steam250.com/app/220"">Half-Life 2</a></span>","<span class=""date"" title=""16 Nov 2004""><a href=""/old""> Nov 2004 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
22,"<span class=""title""> 22. <a href=""https://club.steam250.com/app/433340"">Slime Rancher</a></span>","<span class=""date"" title=""1 Aug 2017""><a href=""/2017""> Aug 2017 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a></span>",,
23,"<span class=""title""> 23. <a href=""https://club.steam250.com/app/508440"">Totally Accurate Battle Simulator</a></span>","<span class=""date"" title=""1 Apr 2021""><a href=""/2021""> Apr 2021 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
24,"<span class=""title""> 24. <a href=""https://club.steam250.com/app/1289310"">Helltaker</a></span>","<span class=""date"" title=""11 May 2020""><a href=""/2020""> May 2020 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""mac"" href=""/mac250"" title=""Mac""></a><a class=""nix"" href=""/linux250"" title=""Linux""></a></span>",,
25,"<span class=""title""> 25. <a href=""https://club.steam250.com/app/1229490"">ULTRAKILL</a></span>","<span class=""date"" title=""3 Sep 2020""><a href=""/2020""> Sep 2020 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span><a class=""deck"" href=""/steam_deck_verified"" title=""Steam Deck""></a></span>",,
26,"<span class=""title""> 26. <a href=""https://club.steam250.com/app/548430"">Deep Rock Galactic</a></span>","<span class=""date"" title=""13 May 2020""><a href=""/2020""> May 2020 </a> </span>","<span class=""platforms""><span class=""win"" title=""Windows""></span></span>",,
